id_bairro;desc_bairro
808;CONJUNTO HABITACIONAL PARQUE ITAJAI
809;CONJUNTO HABITACIONAL PEDRO AFONSO JUNQUEIRA
810;CONJUNTO HABITACIONAL SAADA NADER ABI CHEDID
811;CONJUNTO HABITACIONAL SANTA ETELVINA II
812;CONJUNTO HABITACIONAL SAO BENTO
813;CONJUNTO HABITACIONAL SETOR B
814;CONJUNTO HABITACIONAL TEOTONIO VILELA
815;CONJUNTO JOAO BERBEL
816;CONJUNTO JOAZ SOUZA
817;CONJUNTO LEA ARCHER
818;CONJUNTO MARCOS MOURA
819;CONJUNTO METROPOLITANO
820;CONJUNTO NOVO HORIZONTE
821;CONJUNTO PALMEIRAS
822;CONJUNTO PALMITAL SAO BENEDITO
823;CONJUNTO PAULO VI
824;CONJUNTO RESIDENCIAL GALO BRANCO
825;CONJUNTO RESIDENCIAL IPIRANGA
826;CONJUNTO RESIDENCIAL JARDIM CANAA
827;CONJUNTO RESIDENCIAL JOSE BONIFACIO
828;CONJUNTO RESIDENCIAL MURIBECA
829;CONJUNTO RESIDENCIAL SANTA TEREZINHA
830;CONJUNTO RIVIERA
831;CONJUNTO SAMAUMA
832;CONJUNTO SAO CRISTOVAO
833;CONJUNTO SITIO SAO PEDRO
834;CONJUNTO TAQUARIL
835;CONJUNTO TUNEL IBIRITE BARREIRO
836;CONJUNTO UNIAO
837;CONJUNTO VERA CRUZ
838;CONRADINHO
839;CONSELHEIRO PAULINO
840;CONSOLACAO
841;CONSOLATA
842;CONTORNO
843;COOPHASUL
844;COPACABANA
845;COPIOBA
846;COQUEIRAL
847;COQUEIRO
848;CORACAO DE JESUS
849;CORACAO EUCARISTICO
850;CORADI
851;CORAL
852;CORDEIRO
853;CORDEIROS
854;CORDOVIL
855;COROA DO MEIO
856;COROADINHO
857;COROADO
858;CORONEL ANTONINO
859;CORONEL JOSE PINTO
860;CORREGO CATETO
861;CORREGO COMPRIDO
862;CORREGO DA ABELHA
863;CORREGO DA ANTINHA
864;CORREGO DA PERDIZ
865;CORREGO DAS CRUZES
866;CORREGO DO AGRIAO
867;CORREGO DO ARCO
868;CORREGO DO COQUEIRO
869;CORREGO DO ENGANO
870;CORREGO DO ESTREITO
871;CORREGO DO JATAI
872;CORREGO DO JAU
873;CORREGO DO PRATA
874;CORREGO FORTE
875;CORREGO GRANDE
876;CORREGO MACAUBAL
877;CORREGO PADUA DINIZ
878;CORREGO SALTINHO
879;CORREGO SAO ROBERTO
880;CORREGO SECO
881;CORREGO SERTAO DOS INACIOS
882;COSME DE FARIAS
883;COSME E DAMIAO
884;COSTA E SILVA
885;COSTA RIOS
886;COTIANOS
887;COUTOS
888;COXILHA VELHA
889;COXIPO
890;CPA 3
891;CREMACAO
892;CRISTAL
893;CRISTO REDENTOR
894;CRISTO REI
895;CRUZ
896;CRUZ DAS ALMAS
897;CRUZ DE REBOUCAS
898;CRUZ GRANDE
899;CRUZ PILARZINHO
900;CRUZEIRO
901;CRUZEIRO ICOARACI
902;CRUZEIRO VELHO
903;CUIABA
904;CURICICA
905;CURITIBANOS
906;CUSTODIO PEREIRA
907;D E R
908;D I A
909;D JULIETA
910;DA GRACA
911;DA LAGOA
912;DA PAZ
913;DA PENHA
914;DA VITORIA
915;DAIA
916;DAMAS
917;DANIEL FONSECA
918;DARCY VARGAS
919;DARIO LASSANCE
920;DAS FLORES
921;DAS FORQUILHAS
922;DAS NACOES
923;DAS PALMEIRAS
924;DE LOURDES
925;DEL CASTILHO
926;DELTA
927;DEMARCHI
928;DERALDO ALVES
929;DERBY
930;DESVIO RIZZO
931;DIAMANTE
932;DIAMANTINO
933;DIAS MACEDO
934;DIC IV CONJUNTO HABITACIONAL LECH WALESA
935;DIC V
936;DIOGO MACHADO DE ARAUJO
937;DIONISIO TORRES
938;DIQUE DE CAXIAS I
939;DIST A INDUSTRIAL
940;DIST CALDEIRAO DO ALMEIDA
941;DIST INDL SENADOR CANEDO
942;DIST INDUSTRIAL
943;DIST INDUSTRIAL I
944;DIST MONTE VERDE
945;DISTR INDUSTRIAL
946;DISTRITO
947;DISTRITO DE ALFREDO GUEDES
948;DISTRITO DE ALTO GUARAJUS
949;DISTRITO DE CAMBARATIBA
950;DISTRITO DE CARIUTABA
951;DISTRITO DE CORVO BRANCO 2
952;DISTRITO DE LACIO
953;DISTRITO DE PIQUIRI
954;DISTRITO DE PIRAMBOIA
955;DISTRITO DE PIRANGI
956;DISTRITO DE REVES DO BELEM
957;DISTRITO DE SAO JOSE DOS BANDEIRANTES
958;DISTRITO DE TUIUTY
959;DISTRITO DE VERMELHO
960;DISTRITO INDUSTRIAL
961;DISTRITO INDUSTRIAL BRASIL CENTRAL
962;DISTRITO INDUSTRIAL DE ICOARACI
963;DISTRITO INDUSTRIAL DIPER
964;DISTRITO INDUSTRIAL I
965;DISTRITO INDUSTRIAL II
966;DISTRITO INDUSTRIAL PINDORAMA
967;DISTRITO INDUSTRIAL TERRA PRETA
968;DIVINEIA
969;DIVINOPOLIS
970;DIX SEPT ROSADO
971;DO BRAZ
972;DO GRAMADO
973;DO TURVO
974;DODGE
975;DOIS CARNEIROS
976;DOIS CORREGOS
977;DOIS DE JULHO
978;DOIS DE JULHO CENTRO
979;DOM AQUINO
980;DOM AVELAR
981;DOM BOSCO
982;DOM CONSTANTINO
983;DOM JOAO VI
984;DOM JOAQUIM
985;DOM LAFAIETE
986;DOM LAFAYETE LIBANIO
987;DOM LUSTOSA
988;DOM PEDRO
989;DOM RODRIGO
990;DOM SILVERIO
991;DOMINGOS OLIMPIO
992;DOMINGOS ZEMA
993;DONA CLARA
994;DONA NAIR C NUNES
995;DORNELAS
996;DOS ABREUS
997;DOS ALVES
998;DOS CARVALHOS
999;DOS CASA
1000;DOS CLEMENTES
1001;DOS ESTADOS
1002;DOS FRANCISCOS
1003;DOS LEITES
