id_logradouro;desc_logradouro
490;AVENIDA DEZ DE DEZEMBRO
491;AVENIDA DEZENOVE
492;AVENIDA DEZESSETE DE AGOSTO
493;AVENIDA DIOGUINHO
494;AVENIDA DIONISIO BENTES
495;AVENIDA DIVINO PAI ETERNO
496;AVENIDA DJALMA BATISTA
497;AVENIDA DO AGRICULTOR
498;AVENIDA DO COMERCIO
499;AVENIDA DO CONTORNO
500;AVENIDA DO CURSINO
501;AVENIDA DO ESTADO
502;AVENIDA DO FORTE
503;AVENIDA DO ORATORIO
504;AVENIDA DO SABARA
505;AVENIDA DOCA BELO
506;AVENIDA DOIS
507;AVENIDA DOIS CORREGOS
508;AVENIDA DOIS DE DEZEMBRO
509;AVENIDA DOM AURELIANO MATOS
510;AVENIDA DOM BOSCO
511;AVENIDA DOM CLAUDIO JOSE GONCALVES PONCE DE LEAO
512;AVENIDA DOM HELDER CAMARA
513;AVENIDA DOM HELDER CAMARA UR
514;AVENIDA DOM HENRIQUE II
515;AVENIDA DOM INACIO
516;AVENIDA DOM JOAO VI
517;AVENIDA DOM JOSE GASPAR
518;AVENIDA DOM JOSE TUPINAMBA DA FROTA
519;AVENIDA DOM LINO
520;AVENIDA DOM LUIS
521;AVENIDA DOM MALAN
522;AVENIDA DOM MANUEL
523;AVENIDA DOM PEDRO I
524;AVENIDA DOM PEDRO II
525;AVENIDA DOM ROMUALDO COELHO
526;AVENIDA DOMINGOS DA SILVA CANDEMIL
527;AVENIDA DOMINGOS DE ALMEIDA
528;AVENIDA DOMINGOS PERIM
529;AVENIDA DOMINGOS PORTUGUES
530;AVENIDA DON PEDRO I
531;AVENIDA DONA EMILIA DE CASTRO MARTINS
532;AVENIDA DONA HELENA PEREIRA DE MORAES
533;AVENIDA DONA MARIA ELISA
534;AVENIDA DONA RENATA
535;AVENIDA DORIA
536;AVENIDA DORIS
537;AVENIDA DORIVAL CAYME EDFCENC LIT NORTE
538;AVENIDA DORIVAL CAYMMI
539;AVENIDA DOS ANDRADAS
540;AVENIDA DOS AUTONOMISTAS
541;AVENIDA DOS BANCARIOS
542;AVENIDA DOS ESPORTES
543;AVENIDA DOS EXPEDICIONARIOS
544;AVENIDA DOS FLAMBOYANTS
545;AVENIDA DOS HOLANDESES
546;AVENIDA DOS IMIGRANTES
547;AVENIDA DOS IPES
548;AVENIDA DOS JARDINS
549;AVENIDA DOS JEQUITIBAS
550;AVENIDA DOS NAVEGANTES
551;AVENIDA DOS OITIS
552;AVENIDA DOS PIONEIROS
553;AVENIDA DOS TRABALHADORES VILA DA JUSTICA
554;AVENIDA DOUTOR ABREU LIMA
555;AVENIDA DOUTOR AGAMENON MAGALHAES
556;AVENIDA DOUTOR ALBINO IMPARATO
557;AVENIDA DOUTOR ALTINO ARANTES
558;AVENIDA DOUTOR ANTONIO PINHEIRO JUNIOR
559;AVENIDA DOUTOR ARMANDO PANNUNZIO
560;AVENIDA DOUTOR ARMANDO SALES DE OLIVEIRA
561;AVENIDA DOUTOR ARNALDO
562;AVENIDA DOUTOR BELMINO CORREIA
563;AVENIDA DOUTOR BEZERRA DE MENEZES
564;AVENIDA DOUTOR CAMPOS SALES
565;AVENIDA DOUTOR CARDOSO DE MELO
566;AVENIDA DOUTOR CARLOS BARBOSA
567;AVENIDA DOUTOR CARLOS BOTELHO
568;AVENIDA DOUTOR CHUCRI ZAIDAN
569;AVENIDA DOUTOR CICERO DE MORAES
570;AVENIDA DOUTOR CRISTIANO GUIMARAES
571;AVENIDA DOUTOR DEMOSTENES RIO BRANCO
572;AVENIDA DOUTOR EDUARDO COTCHING
573;AVENIDA DOUTOR ELOY CHAVES
574;AVENIDA DOUTOR FERNANDO COSTA
575;AVENIDA DOUTOR FRANCISCO CORREIA
576;AVENIDA DOUTOR FRANCISCO DE MENEZES
577;AVENIDA DOUTOR FRANCISCO P V AZEVED
578;AVENIDA DOUTOR FREITAS
579;AVENIDA DOUTOR GASTAO VIDIGAL CEAGESP
580;AVENIDA DOUTOR HUGO DE MENDONCA
581;AVENIDA DOUTOR J DE B VASCONCELOS
582;AVENIDA DOUTOR JOAO GUILHERMINO
583;AVENIDA DOUTOR JOSE HERMANO
584;AVENIDA DOUTOR JOSE RUFINO
585;AVENIDA DOUTOR LUIS ARROBAS MARTINS
586;AVENIDA DOUTOR LUIZ TEIXEIRA MENDES
587;AVENIDA DOUTOR MANOEL ILDEFONSO ARCHER DE CASTILHO
588;AVENIDA DOUTOR MANOEL PALOMINO FERNANDES
589;AVENIDA DOUTOR MANOEL PEDRO
590;AVENIDA DOUTOR OCTAVIANO P MENDES
591;AVENIDA DOUTOR OCTAVIO DE ARAUJO
592;AVENIDA DOUTOR OLIVEIRA CASTRO
593;AVENIDA DOUTOR OLIVIO LIRA
594;AVENIDA DOUTOR PAULO MOUTRAM
595;AVENIDA DOUTOR RAIMUNDO SANTOS
596;AVENIDA DOUTOR RICARDO JAFET
597;AVENIDA DOUTOR RICARDO SOARES
598;AVENIDA DOUTOR SIDNEY CHAVES
599;AVENIDA DOUTOR SILVA MELO
600;AVENIDA DOUTOR THEMISTOCLES ALMEIDA
601;AVENIDA DOUTOR TIMOTEO PENTEADO
602;AVENIDA DOUTOR ULYSSES GUIMARAES
603;AVENIDA DOUTOR VICENTE MACHADO
604;AVENIDA DOUTOR VICENTE SANCHES
605;AVENIDA DOUTOR VITAL BRASIL
606;AVENIDA DOUTOR ZANNY
607;AVENIDA DUQUE DE CAXIAS
608;AVENIDA DUVILIO OMETTO
609;AVENIDA EDGARD SANTOS
610;AVENIDA EDSON
611;AVENIDA EDSON BRANDAO
612;AVENIDA EDSON LUIS DA SILVA
613;AVENIDA EDUARDO FROES DA MOTA
