cd_cnpj;de_ramo_atividade_principal;cod_ramo_atividade_principal;cd_ramo_atividade;nu_ordem;de_ramo_atividade
15829825000190;ATIVIDADES DE POSPRODUCAO CINEMATOGRAFICA, DE VIDEOS E DE PROGRAMAS DE TELEVISAO NAO ESPECIFICADAS ANTERIORMENTE;5811500;5811500~@~5813100~@~5819100~@~5912099~@~7319003;0~@~1~@~2~@~3~@~4;ATIVIDADES DE POSPRODUCAO CINEMATOGRAFICA, DE VIDEOS E DE PROGRAMAS DE TELEVISAO NAO ESPECIFICADAS ANTERIORMENTE~@~EDICAO DE CADASTROS, LISTAS E DE OUTROS PRODUTOS GRAFICOS~@~EDICAO DE LIVROS~@~EDICAO DE REVISTAS~@~MARKETING DIRETO
00425944000100;COMERCIO ATACADISTA DE INSTRUMENTOS E MATERIAIS PARA USO MEDICO, CIRURGICO, HOSPITALAR E DE LABORATORIOS;4645101;4645101;0;COMERCIO ATACADISTA DE INSTRUMENTOS E MATERIAIS PARA USO MEDICO, CIRURGICO, HOSPITALAR E DE LABORATORIOS
02666539000100;REPRESENTANTES COMERCIAIS E AGENTES DO COMERCIO DE MERCADORIAS EM GERAL NAO ESPECIALIZADO;4619200;4619200;0;REPRESENTANTES COMERCIAIS E AGENTES DO COMERCIO DE MERCADORIAS EM GERAL NAO ESPECIALIZADO
01789731000120;LANCHONETES, CASAS DE CHA, DE SUCOS E SIMILARES;5611203;5611203;0;LANCHONETES, CASAS DE CHA, DE SUCOS E SIMILARES
16849730000100;CARGA E DESCARGA;4723700;4723700~@~5212500;0~@~1;CARGA E DESCARGA~@~COMERCIO VAREJISTA DE BEBIDAS
15531229000120;COMERCIO VAREJISTA DE ARTIGOS DE CAMA, MESA E BANHO;4755503;4755503;0;COMERCIO VAREJISTA DE ARTIGOS DE CAMA, MESA E BANHO
15398763000100;ATIVIDADES DE ESTETICA E OUTROS SERVICOS DE CUIDADOS COM A BELEZA;9602502;9602502;0;ATIVIDADES DE ESTETICA E OUTROS SERVICOS DE CUIDADOS COM A BELEZA
15400540000130;COMERCIO VAREJISTA DE OBJETOS DE ARTE;1521100;1521100~@~4789003;0~@~1;COMERCIO VAREJISTA DE OBJETOS DE ARTE~@~FABRICACAO DE ARTIGOS PARA VIAGEM, BOLSAS E SEMELHANTES DE QUALQUER MATERIAL
15661235000100;COMERCIO ATACADISTA DE EQUIPAMENTOS DE INFORMATICA;4651601;4651601~@~4665600~@~4751200~@~4789099;0~@~1~@~2~@~3;COMERCIO ATACADISTA DE EQUIPAMENTOS DE INFORMATICA~@~COMERCIO ATACADISTA DE MAQUINAS E EQUIPAMENTOS PARA USO COMERCIAL, PARTES E PECAS~@~COMERCIO VAREJISTA DE OUTROS PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE~@~COMERCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E SUPRIMENTOS DE INFORMATICA
14842762000140;SERVICOS DE USINAGEM, TORNEARIA E SOLDA;2539001;2539001;0;SERVICOS DE USINAGEM, TORNEARIA E SOLDA
16100510000170;ALUGUEL DE OUTRAS MAQUINAS E EQUIPAMENTOS COMERCIAIS E INDUSTRIAIS NAO ESPECIFICADOS ANTERIORMENTE, SEM OPERADOR;7739099;7739099~@~8230001;0~@~1;ALUGUEL DE OUTRAS MAQUINAS E EQUIPAMENTOS COMERCIAIS E INDUSTRIAIS NAO ESPECIFICADOS ANTERIORMENTE, SEM OPERADOR~@~SERVICOS DE ORGANIZACAO DE FEIRAS, CONGRESSOS, EXPOSICOES E FESTAS
39503925000190;COMERCIO VAREJISTA DE OUTROS PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE;4789099;4789099;0;COMERCIO VAREJISTA DE OUTROS PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE
08643675000160;FABRICACAO DE OUTROS PRODUTOS DE MINERAIS NAOMETALICOS NAO ESPECIFICADOS ANTERIORMENTE;2399199;2399199;0;FABRICACAO DE OUTROS PRODUTOS DE MINERAIS NAOMETALICOS NAO ESPECIFICADOS ANTERIORMENTE
10839583000100;ATIVIDADES DE FISIOTERAPIA;4619200;4619200~@~8650003~@~8650004~@~8650006;0~@~1~@~2~@~3;ATIVIDADES DE FISIOTERAPIA~@~ATIVIDADES DE FONOAUDIOLOGIA~@~ATIVIDADES DE PSICOLOGIA E PSICANALISE~@~REPRESENTANTES COMERCIAIS E AGENTES DO COMERCIO DE MERCADORIAS EM GERAL NAO ESPECIALIZADO
14851270000110;COMERCIO A VAREJO DE PECAS E ACESSORIOS NOVOS PARA VEICULOS AUTOMOTORES;4520002;4520002~@~4530703;0~@~1;COMERCIO A VAREJO DE PECAS E ACESSORIOS NOVOS PARA VEICULOS AUTOMOTORES~@~SERVICOS DE LANTERNAGEM OU FUNILARIA E PINTURA DE VEICULOS AUTOMOTORES
06292912000160;MANUTENCAO E REPARACAO DE EQUIPAMENTOS HIDRAULICOS E PNEUMATICOS, EXCETO VALVULAS;3314702;3314702;0;MANUTENCAO E REPARACAO DE EQUIPAMENTOS HIDRAULICOS E PNEUMATICOS, EXCETO VALVULAS
14445719000140;COMERCIO A VAREJO DE PECAS E ACESSORIOS NOVOS PARA VEICULOS AUTOMOTORES;3314710;3314710~@~4321500~@~4520003~@~4530703~@~4757100;0~@~1~@~2~@~3~@~4;COMERCIO A VAREJO DE PECAS E ACESSORIOS NOVOS PARA VEICULOS AUTOMOTORES~@~COMERCIO VAREJISTA ESPECIALIZADO DE PECAS E ACESSORIOS PARA APARELHOS ELETROELETRONICOS PARA USO DOMESTICO, EXCETO INFORMATICA E COMUNICACAO~@~INSTALACAO E MANUTENCAO ELETRICA~@~MANUTENCAO E REPARACAO DE MAQUINAS E EQUIPAMENTOS PARA USO GERAL NAO ESPECIFICADOS ANTERIORMENTE~@~SERVICOS DE MANUTENCAO E REPARACAO ELETRICA DE VEICULOS AUTOMOTORES
15671695000100;COMERCIO A VAREJO DE PECAS E ACESSORIOS NOVOS PARA VEICULOS AUTOMOTORES;4530703;4530703~@~4530704~@~5229002;0~@~1~@~2;COMERCIO A VAREJO DE PECAS E ACESSORIOS NOVOS PARA VEICULOS AUTOMOTORES~@~COMERCIO A VAREJO DE PECAS E ACESSORIOS USADOS PARA VEICULOS AUTOMOTORES~@~SERVICOS DE REBOQUE DE VEICULOS
12467812000120;ALUGUEL DE EQUIPAMENTOS RECREATIVOS E ESPORTIVOS;7721700;7721700~@~7739003~@~8592903~@~9001902;0~@~1~@~2~@~3;ALUGUEL DE EQUIPAMENTOS RECREATIVOS E ESPORTIVOS~@~ALUGUEL DE PALCOS, COBERTURAS E OUTRAS ESTRUTURAS DE USO TEMPORARIO, EXCETO ANDAIMES~@~ENSINO DE MUSICA~@~PRODUCAO MUSICAL
11437638000100;ATIVIDADES DE VIGILANCIA E SEGURANCA PRIVADA;8011101;8011101~@~8121400;0~@~1;ATIVIDADES DE VIGILANCIA E SEGURANCA PRIVADA~@~LIMPEZA EM PREDIOS E EM DOMICILIOS
15189084000120;AGENCIAS DE VIAGENS;1822999;1822999~@~5229099~@~7911200~@~7912100~@~8230001;0~@~1~@~2~@~3~@~4;AGENCIAS DE VIAGENS~@~OPERADORES TURISTICOS~@~OUTRAS ATIVIDADES AUXILIARES DOS TRANSPORTES TERRESTRES NAO ESPECIFICADAS ANTERIORMENTE~@~SERVICOS DE ACABAMENTOS GRAFICOS, EXCETO ENCADERNACAO E PLASTIFICACAO~@~SERVICOS DE ORGANIZACAO DE FEIRAS, CONGRESSOS, EXPOSICOES E FESTAS
14532704000110;PROMOCAO DE VENDAS;7319002;7319002;0;PROMOCAO DE VENDAS
